NEW_ID,LOCATION,WEP,CCI,MAIN_ROCK,DRYVER_GROUP`,SUB_ROCK,ROCK_GROUP,MAINXSUB,0P_AV_Sq,0P_AV_Sz,0P_AV_Ssk,20P_AV_Sq,20P_AV_Sz,20P_AV_Ssk,0P_AV_TIME,1P_AV_TIME,20P_AV_TIME,0P_1P_AV_TIME,0P_20P_AV_TIME,1P_AV_D,20P_AV_D,1P_20P_DEL,0P_05m_TIME,1P_05m_TIME,20P_05m_TIME,0P_10m_TIME,1P_10m_TIME,20P_10m_TIME,0P_15m_TIME,1P_15m_TIME,20P_15m_TIME,0P_AV_TIME,1P_AV_TIME,20P_AV_TIME,0_1_RATIO,0_20_RATIO
MVHV101A,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,2.238232894,91.99636336,4.458015059,6.485318927,41.06167155,-0.355040035,95,140,140,45,45,31.67,38.33,6.67,NA,NA,NA,284,421,421,NA,NA,NA,95,140,140,1.47,1.47
MVHV101B,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,1.399060058,14.46271053,0.486717083,6.575058823,41.10868743,-0.298251765,159,149,162,-10,3,26.67,30,3.33,NA,NA,NA,478,448,487,NA,NA,NA,159,149,162,0.94,1.02
MVHV102A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,3.09059941,27.4360768,0.499201396,6.476407735,47.75259631,-0.181174493,0,75,75,75,75,13.33,40,26.67,NA,NA,NA,NA,224,224,NA,NA,NA,NA,75,75,NA,NA
MVHV102B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,3.145378976,30.85233566,0.57071266,6.561049227,51.40123617,-0.330338512,0,98,98,98,98,38.33,43.33,5,NA,NA,NA,NA,295,295,NA,NA,NA,NA,98,98,NA,NA
MVHV103A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,2.946738307,26.3319406,0.675670056,7.519723065,55.23077503,-0.258139727,0,86,135,86,135,38.33,25,-13.33,NA,NA,NA,NA,258,404,NA,NA,NA,NA,86,135,NA,NA
MVHV103B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,0,100,162,100,162,38.33,43.33,5,NA,NA,NA,NA,300,485,NA,NA,NA,NA,100,162,NA,NA
MVHV104A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,3.725277532,32.48652991,0.827477723,5.566324563,39.43993425,-0.15783145,149,149,79,0,-70,16,30,14,NA,NA,NA,446,446,236,NA,NA,NA,149,149,79,1.00,0.53
MVHV104B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,4.043354838,106.1640193,9.394550987,6.984056644,46.92622898,-0.325656596,95,108,92,13,-3,11.67,35,23.33,NA,NA,NA,284,323,276,NA,NA,NA,95,108,92,1.14,0.97
MVHV105A,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,3.554730754,26.03188583,0.616258878,6.57704001,47.15324619,-0.368799169,96,49,88,-47,-8,16.67,31.67,15,NA,NA,NA,288,148,264,NA,NA,NA,96,49,88,0.51,0.92
MVHV105B,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,3.704608741,32.0670413,0.510786993,7.376224947,47.34499797,0.374001541,138,98,64,-40,-74,15,40,25,NA,NA,NA,413,294,193,NA,NA,NA,138,98,64,0.71,0.46
MVHV106A,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,3.743135421,29.85561196,0.794347305,6.678470249,50.09846987,-0.12077837,0,96,70,96,70,11.67,25,13.33,NA,NA,NA,NA,288,210,NA,NA,NA,NA,96,70,NA,NA
MVHV106B,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,3.806364928,33.54047802,0.768587373,7.317215592,57.30434902,-0.332715397,0,94,70,94,70,23.33,56.67,33.33,NA,NA,NA,NA,283,210,NA,NA,NA,NA,94,70,NA,NA
MVHV107A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,1.669047429,15.75827696,0.693609127,6.567211262,43.42951881,-0.365379385,0,127,94,127,94,31.67,31.67,0,NA,NA,NA,NA,382,283,NA,NA,NA,NA,127,94,NA,NA
MVHV107B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,1.807523031,13.60289839,0.740546977,5.710131929,43.76216656,-0.235922843,0,145,137,145,137,31.67,41.67,10,NA,NA,NA,NA,436,410,NA,NA,NA,NA,145,137,NA,NA
MVMG200A,Miers,NA,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,3.700623823,32.50834188,0.632438925,4.425209054,44.43589617,0.595896172,161,199,195,38,34,4.33,23.33,19,NA,NA,NA,484,597,584,NA,NA,NA,161,199,195,1.24,1.21
